filename,fault_detected,fault_category
Bearing (1) Ball & Bearing (2) Combination Trial 1.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 10.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 11.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 12.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 13.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 14.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 15.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 16.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 17.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 18.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 19.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 2.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 20.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 21.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 22.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 23.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 24.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 25.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 3.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 4.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 5.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 6.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 7.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 8.csv,1,1
Bearing (1) Ball & Bearing (2) Combination Trial 9.csv,1,1
Bearing (1) Ball & Bearing (2) Inner Trial 1.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 10.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 11.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 12.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 13.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 14.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 15.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 16.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 17.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 18.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 19.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 2.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 20.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 21.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 22.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 23.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 24.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 25.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 3.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 4.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 5.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 6.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 7.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 8.csv,1,2
Bearing (1) Ball & Bearing (2) Inner Trial 9.csv,1,2
Bearing (1) Ball & Bearing (2) Outer Trial 1.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 10.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 11.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 12.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 13.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 14.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 15.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 16.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 17.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 18.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 19.csv,1,3
Bearing (1) Ball & Bearing (2) Outer Trial 2.csv,1,3
